position,title,address,phone,website,rating,reviews,latitude,longitude,type,types,open_state,hours,price,user_review,accessibility,parking,service_options,highlights,popular_for,offerings,dining_options,amenities,atmosphere,crowd,payments,place_id
1,Gray Wolf Peak Casino,"20750 US-93, Missoula, MT 59808",(406) 726-3778,http://www.graywolfpeakcasino.com/,4.1,1112,47.0727386,-114.0611419,Casino,"Casino, Bar, Deli, Fine dining restaurant, Gambling house, Gas station, Gift shop, Resort hotel, Restaurant",,,,,,,,Live performances,,,,,,,,ChIJGwape8nsXVMRMrWWkD0q2nY
2,Montana Lil's Casino,"3801 Brooks St, Missoula, MT 59804",(406) 251-1547,http://www.montanasbestcasinos.com/,4.2,141,46.8367809,-114.0400865,Casino,Casino,Open 24 hours,Open 24 hours,,1 of 4 casinos left open 24hrs in Missoula.,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJXSNjOHHSXVMRw19eUData8c
3,Magic Diamond Casino,"1210 W Broadway St, Missoula, MT 59802",(406) 728-2999,https://www.montanasbestcasinos.com/,4,154,46.877729699999996,-114.01106779999999,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,Onsite services,,,,,,,,,ChIJCxc-eHzOXVMRLwcUf6JYcjc
4,Montana Lil's Casino,"3333 N Reserve St, Missoula, MT 59801",(406) 542-4723,http://www.montanasbestcasinos.com/,4,89,46.8960553,-114.04017569999999,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,Love this casino its low key always friendly workers very attentive,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJr2M7dU_OXVMRnoPeYL0w1TA
5,"Claim Jumper Casino, Restaurant, & Lounge","3021 Brooks St, Missoula, MT 59801",(406) 728-0074,http://theclaimjumpercasino.com/,4.3,409,46.842683799999996,-114.02742669999999,Casino,"Casino, Bar, American restaurant, Restaurant",Open 24 hours,Open 24 hours,$10â€“20,,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating","Free parking lot, Free street parking, Usually plenty of parking","Takeout, Dine-in","Fast service, Great beer selection, Great cocktails, Sports","Breakfast, Lunch, Dinner, Solo dining","Alcohol, Beer, Cocktails, Comfort food, Food, Happy hour drinks, Hard liquor, Late-night food, Quick bite, Small plates, Wine","Breakfast, Brunch, Lunch, Dinner, Dessert, Seating","Bar onsite, Restroom, Wi-Fi","Casual, Cozy",Groups,"Credit cards, Debit cards, NFC mobile payments",ChIJXfO2cYzNXVMRu-PqNR94eMA
6,Lucky Lil's Casino,"3109 Brooks St, Missoula, MT 59801",(406) 721-5770,http://www.montanasbestcasinos.com/,3.9,103,46.8423782,-114.0278371,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,Casino and bathrooms are very clean.,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJja-miovNXVMRcONhQouwTQQ
7,MoTown Casino,"1610 S Russell St, Missoula, MT 59801",(406) 926-1144,,4.4,30,46.8556762,-114.0176236,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,Better than the generic chain casino any day.,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJ44o_yenNXVMRc-I0Gw4DIVQ
8,Flippers Tavern ~ Grill ~ Casino,"125 S 3rd St W, Missoula, MT 59801",(406) 721-4895,https://m.facebook.com/flipperscasinoandtavern/,4.5,327,46.8667428,-113.9985456,Casino,"Casino, American restaurant, Bar",Closed â‹… Opens 10â€¯AM,Closed â‹… Opens 10â€¯AM,$10â€“20,,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible seating","Free parking lot, Free street parking, Usually somewhat difficult to find a space","Outdoor seating, Onsite services, Takeout, Dine-in","Bar games, Fast service, Great beer selection, Karaoke, Live performances, Sports, Trivia night",Solo dining,"Alcohol, Beer, Food, Food at bar, Happy hour drinks, Hard liquor, Wine",Seating,Restroom,Casual,Groups,"Credit cards, Debit cards, NFC mobile payments",ChIJOzPPmNPNXVMR97gHGU8ECOw
9,Maui Nites,"3701 Brooks St, Missoula, MT 59801",(406) 721-6900,https://facebook.com/mauinites406/,4.5,67,46.8374996,-114.0380574,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,Very nice atmosphere good gaming A++,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJ_bnivnbSXVMRsLNoaYzFGvQ
10,Lucky Lil's Casino,"2210 N Reserve St, Missoula, MT 59808",(406) 728-5903,http://www.montanasbestcasinos.com/,4,75,46.8853845,-114.0385798,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,"Great selection of liquor, comfortable casino.","Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJOfEAtEbOXVMRsk5p6NsLHFE
